=== Using options:--aggressive-branch-removal
000000000041D379: warning: Unable to resolve imported reference sigaltstack.
000000000042C771: warning: Unable to resolve imported reference __xstat64.
000000000041BC20: warning: Unable to resolve imported reference __sigsetjmp.
000000000042C9F6: warning: Unable to resolve imported reference __xstat64.
0000000000407808: warning: Unable to resolve imported reference log10.
0000000000407958: warning: Unable to resolve imported reference ceil.
0000000000407FE8: warning: Unable to resolve imported reference acos.
000000000040864B: warning: Unable to resolve imported reference caml_young_limit.
0000000000408663: warning: Unable to resolve imported reference caml_curry7_6.
000000000041D04E: warning: Unable to resolve imported reference sigdelset.
000000000040908B: warning: Unable to resolve imported reference caml_young_limit.
00000000004090A3: warning: Unable to resolve imported reference caml_tuplify2.
00000000004090B5: warning: Unable to resolve imported reference camlUnix__fun_1861.
0000000000413ABF: warning: Unable to resolve imported reference caml_young_limit.
00000000004098E7: warning: Unable to resolve imported reference unix_opendir.
000000000040E29B: warning: Unable to resolve imported reference caml_young_limit.
000000000040E2B3: warning: Unable to resolve imported reference caml_exn_Invalid_argument.
000000000041B354: warning: Unable to resolve imported reference caml_local_roots.
000000000041B2FD: warning: Unable to resolve imported reference error_table.
000000000041B430: warning: Unable to resolve imported reference caml_local_roots.
0000000000408340: warning: Unable to resolve imported reference __gmon_start__.
000000000042C7DB: warning: Unable to resolve imported reference readdir64.
000000000042C840: warning: Unable to resolve imported reference readdir64.
0000000000428056: warning: Unable to resolve imported reference __xstat64.
0000000000427FF4: warning: Unable to resolve imported reference rename.
0000000000427FD4: warning: Unable to resolve imported reference chdir.
0000000000427C02: warning: Unable to resolve imported reference __xstat64.
0000000000427B7C: warning: Unable to resolve imported reference getrusage.
0000000000427B41: warning: Unable to resolve imported reference getppid.
0000000000424D30: warning: Unable to resolve imported reference lseek64.
0000000000424BB0: warning: Unable to resolve imported reference lseek64.
0000000000423D3A: warning: Unable to resolve imported reference lseek64.
0000000000423D50: warning: Unable to resolve imported reference lseek64.
0000000000423BAD: warning: Unable to resolve imported reference lseek64.
0000000000422C96: warning: Unable to resolve imported reference strtod.
0000000000422B7D: warning: Unable to resolve imported reference strtod.
0000000000422A68: warning: Unable to resolve imported reference exp.
0000000000422A48: warning: Unable to resolve imported reference floor.
0000000000422A24: warning: Unable to resolve imported reference fmod.
000000000042296E: warning: Unable to resolve imported reference frexp.
00000000004228C0: warning: Unable to resolve imported reference ldexp.
0000000000422898: warning: Unable to resolve imported reference log.
0000000000422878: warning: Unable to resolve imported reference log10.
00000000004227F7: warning: Unable to resolve imported reference modf.
00000000004226FC: warning: Unable to resolve imported reference pow.
00000000004226D8: warning: Unable to resolve imported reference sin.
00000000004226B8: warning: Unable to resolve imported reference sinh.
0000000000422698: warning: Unable to resolve imported reference cos.
0000000000422678: warning: Unable to resolve imported reference cosh.
0000000000422658: warning: Unable to resolve imported reference tan.
0000000000422638: warning: Unable to resolve imported reference tanh.
0000000000422618: warning: Unable to resolve imported reference asin.
00000000004225F8: warning: Unable to resolve imported reference acos.
00000000004225D8: warning: Unable to resolve imported reference atan.
00000000004225BC: warning: Unable to resolve imported reference atan2.
0000000000422598: warning: Unable to resolve imported reference ceil.
00000000004224E3: warning: Unable to determine format string for call to '__sprintf_chk'.
00000000004224A2: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000422398: warning: Unable to resolve imported reference __fpclassify.
00000000004219BE: warning: Unable to determine format string for call to '__sprintf_chk'.
00000000004218D8: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000421818: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000421758: warning: Unable to determine format string for call to '__sprintf_chk'.
000000000041D768: warning: Unable to determine format string for call to '__fprintf_chk'.
000000000041D728: warning: Unable to determine format string for call to '__fprintf_chk'.
000000000041D741: warning: Unable to determine format string for call to '__fprintf_chk'.
000000000041D475: warning: Unable to resolve imported reference getrlimit64.
000000000041B7C0: warning: Unable to resolve imported reference caml_local_roots.
000000000041B8A3: warning: Unable to resolve imported reference caml_local_roots.
000000000041B841: warning: Unable to resolve imported reference __memmove_chk.
000000000041B6B6: warning: Unable to resolve imported reference caml_local_roots.
000000000041B761: warning: Unable to resolve imported reference caml_local_roots.
000000000041B71F: warning: Unable to resolve imported reference __memmove_chk.
000000000041B57C: warning: Unable to resolve imported reference caml_local_roots.
000000000041B57C: warning: Unable to resolve imported reference caml_local_roots.
000000000041B57C: warning: Unable to resolve imported reference caml_local_roots.
000000000041B60F: warning: Unable to resolve imported reference waitpid.
000000000041B2DF: warning: Unable to resolve imported reference umask.
000000000041B2B7: warning: Unable to resolve imported reference truncate64.
000000000041B290: warning: Unable to resolve imported reference truncate64.
000000000041B1EF: warning: Unable to resolve imported reference getrusage.
000000000041B238: warning: Unable to resolve imported reference getrusage.
000000000041AFF5: warning: Unable to resolve imported reference tcgetattr.
000000000041B11C: warning: Unable to resolve imported reference cfgetospeed.
000000000041B12A: warning: Unable to resolve imported reference cfgetispeed.
000000000041ADD7: warning: Unable to resolve imported reference tcgetattr.
000000000041AF10: warning: Unable to resolve imported reference cfsetospeed.
000000000041AF25: warning: Unable to resolve imported reference cfsetispeed.
000000000041AD8E: warning: Unable to resolve imported reference tcsendbreak.
000000000041AD5F: warning: Unable to resolve imported reference tcdrain.
000000000041AD33: warning: Unable to resolve imported reference tcflush.
000000000041ACF7: warning: Unable to resolve imported reference tcflow.
000000000041ACBC: warning: Unable to resolve imported reference symlink.
000000000041ABCA: warning: Unable to resolve imported reference __xstat64.
000000000041A816: warning: Unable to resolve imported reference caml_local_roots.
000000000041A9D7: warning: Unable to resolve imported reference caml_local_roots.
000000000041AB50: warning: Unable to resolve imported reference __lxstat64.
000000000041AAD3: warning: Unable to resolve imported reference __fxstat64.
000000000041AA8F: warning: Unable to resolve imported reference __xstat64.
000000000041AA4A: warning: Unable to resolve imported reference __lxstat64.
000000000041AA04: warning: Unable to resolve imported reference __fxstat64.
000000000041A6BD: warning: Unable to resolve imported reference getsockopt.
000000000041A75E: warning: Unable to resolve imported reference caml_local_roots.
000000000041A5F3: warning: Unable to resolve imported reference setsockopt.
000000000041A4EC: warning: Unable to resolve imported reference socket_type_table.
000000000041A4FC: warning: Unable to resolve imported reference socket_domain_table.
000000000041A506: warning: Unable to resolve imported reference socketpair.
000000000041A379: warning: Unable to resolve imported reference caml_local_roots.
000000000041A3D7: warning: Unable to resolve imported reference caml_local_roots.
000000000041A44C: warning: Unable to resolve imported reference caml_local_roots.
000000000041A1A9: warning: Unable to resolve imported reference socket_type_table.
000000000041A1B9: warning: Unable to resolve imported reference socket_domain_table.
000000000041A042: warning: Unable to resolve imported reference caml_local_roots.
000000000041A0C0: warning: Unable to resolve imported reference caml_local_roots.
000000000041A0E2: warning: Unable to resolve imported reference sigpending.
0000000000419FF5: warning: Unable to resolve imported reference sigsuspend.
0000000000419F7B: warning: Unable to resolve imported reference shutdown.
0000000000419F3F: warning: Unable to resolve imported reference setuid.
0000000000419F24: warning: Unable to resolve imported reference setsid.
0000000000419EFB: warning: Unable to resolve imported reference setgid.
0000000000419E00: warning: Unable to resolve imported reference caml_local_roots.
0000000000419E61: warning: Unable to resolve imported reference __recv_chk.
0000000000419EA3: warning: Unable to resolve imported reference caml_local_roots.
0000000000419C81: warning: Unable to resolve imported reference caml_local_roots.
0000000000419D05: warning: Unable to resolve imported reference __recvfrom_chk.
0000000000419D82: warning: Unable to resolve imported reference caml_local_roots.
0000000000419BAD: warning: Unable to resolve imported reference __memmove_chk.
0000000000419BC6: warning: Unable to resolve imported reference send.
0000000000419A75: warning: Unable to resolve imported reference __memmove_chk.
0000000000419A97: warning: Unable to resolve imported reference sendto.
0000000000419815: warning: Unable to resolve imported reference caml_local_roots.
000000000041992D: warning: Unable to resolve imported reference select.
000000000041972F: warning: Unable to resolve imported reference caml_local_roots.
00000000004197E4: warning: Unable to resolve imported reference caml_local_roots.
00000000004199C2: warning: Unable to resolve imported reference caml_local_roots.
