=== Using options:--aggressive-branch-removal
0000000000424F19: warning: Unable to resolve imported reference sigaltstack.
0000000000434311: warning: Unable to resolve imported reference __xstat64.
00000000004237C0: warning: Unable to resolve imported reference __sigsetjmp.
0000000000434596: warning: Unable to resolve imported reference __xstat64.
0000000000408CA8: warning: Unable to resolve imported reference log10.
0000000000408DF8: warning: Unable to resolve imported reference ceil.
0000000000409488: warning: Unable to resolve imported reference acos.
0000000000409B2B: warning: Unable to resolve imported reference caml_young_limit.
0000000000409B43: warning: Unable to resolve imported reference caml_curry9_6.
0000000000424BEE: warning: Unable to resolve imported reference sigdelset.
000000000040B0CA: warning: Unable to resolve imported reference unix_sigprocmask.
000000000040FA67: warning: Unable to resolve imported reference caml_ml_input_char.
000000000041C7A9: warning: Unable to resolve imported reference caml_young_limit.
000000000041AEC9: warning: Unable to resolve imported reference caml_young_limit.
000000000041AF0C: warning: Unable to resolve imported reference camlPrintf.
000000000041AF1E: warning: Unable to determine the upper bound of an indirect call or jump; there may be more than 2 entries.
0000000000416A45: warning: Unable to resolve imported reference caml_create_string.
000000000040FBEB: warning: Unable to resolve imported reference caml_young_limit.
000000000040FC03: warning: Unable to resolve imported reference caml_exn_Invalid_argument.
000000000040FD29: warning: Unable to resolve imported reference caml_create_string.
000000000040FE2E: warning: Unable to resolve imported reference caml_format_int.
0000000000416960: warning: Unable to resolve imported reference caml_create_string.
00000000004097E0: warning: Unable to resolve imported reference __gmon_start__.
000000000043437B: warning: Unable to resolve imported reference readdir64.
00000000004343E0: warning: Unable to resolve imported reference readdir64.
000000000042FBF6: warning: Unable to resolve imported reference __xstat64.
000000000042FB94: warning: Unable to resolve imported reference rename.
000000000042FB74: warning: Unable to resolve imported reference chdir.
000000000042F7A2: warning: Unable to resolve imported reference __xstat64.
000000000042F71C: warning: Unable to resolve imported reference getrusage.
000000000042F6E1: warning: Unable to resolve imported reference getppid.
000000000042C8D0: warning: Unable to resolve imported reference lseek64.
000000000042C750: warning: Unable to resolve imported reference lseek64.
000000000042B8DA: warning: Unable to resolve imported reference lseek64.
000000000042B8F0: warning: Unable to resolve imported reference lseek64.
000000000042B74D: warning: Unable to resolve imported reference lseek64.
000000000042A836: warning: Unable to resolve imported reference strtod.
000000000042A71D: warning: Unable to resolve imported reference strtod.
000000000042A608: warning: Unable to resolve imported reference exp.
000000000042A5E8: warning: Unable to resolve imported reference floor.
000000000042A5C4: warning: Unable to resolve imported reference fmod.
000000000042A50E: warning: Unable to resolve imported reference frexp.
000000000042A460: warning: Unable to resolve imported reference ldexp.
000000000042A438: warning: Unable to resolve imported reference log.
000000000042A418: warning: Unable to resolve imported reference log10.
000000000042A397: warning: Unable to resolve imported reference modf.
000000000042A29C: warning: Unable to resolve imported reference pow.
000000000042A278: warning: Unable to resolve imported reference sin.
000000000042A258: warning: Unable to resolve imported reference sinh.
000000000042A238: warning: Unable to resolve imported reference cos.
000000000042A218: warning: Unable to resolve imported reference cosh.
000000000042A1F8: warning: Unable to resolve imported reference tan.
000000000042A1D8: warning: Unable to resolve imported reference tanh.
000000000042A1B8: warning: Unable to resolve imported reference asin.
000000000042A198: warning: Unable to resolve imported reference acos.
000000000042A178: warning: Unable to resolve imported reference atan.
000000000042A15C: warning: Unable to resolve imported reference atan2.
000000000042A138: warning: Unable to resolve imported reference ceil.
000000000042A083: warning: Unable to determine format string for call to '__sprintf_chk'.
000000000042A042: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000429F38: warning: Unable to resolve imported reference __fpclassify.
000000000042955E: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000429478: warning: Unable to determine format string for call to '__sprintf_chk'.
00000000004293B8: warning: Unable to determine format string for call to '__sprintf_chk'.
00000000004292F8: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000425308: warning: Unable to determine format string for call to '__fprintf_chk'.
00000000004252C8: warning: Unable to determine format string for call to '__fprintf_chk'.
00000000004252E1: warning: Unable to determine format string for call to '__fprintf_chk'.
0000000000425015: warning: Unable to resolve imported reference getrlimit64.
0000000000423360: warning: Unable to resolve imported reference caml_local_roots.
0000000000423443: warning: Unable to resolve imported reference caml_local_roots.
00000000004233E1: warning: Unable to resolve imported reference __memmove_chk.
0000000000422EF4: warning: Unable to resolve imported reference caml_local_roots.
0000000000422E9D: warning: Unable to resolve imported reference error_table.
0000000000422FD0: warning: Unable to resolve imported reference caml_local_roots.
0000000000423256: warning: Unable to resolve imported reference caml_local_roots.
0000000000423301: warning: Unable to resolve imported reference caml_local_roots.
00000000004232BF: warning: Unable to resolve imported reference __memmove_chk.
000000000042311C: warning: Unable to resolve imported reference caml_local_roots.
000000000042311C: warning: Unable to resolve imported reference caml_local_roots.
000000000042311C: warning: Unable to resolve imported reference caml_local_roots.
00000000004231AF: warning: Unable to resolve imported reference waitpid.
0000000000422E7F: warning: Unable to resolve imported reference umask.
0000000000422E57: warning: Unable to resolve imported reference truncate64.
0000000000422E30: warning: Unable to resolve imported reference truncate64.
0000000000422D8F: warning: Unable to resolve imported reference getrusage.
0000000000422DD8: warning: Unable to resolve imported reference getrusage.
0000000000422B95: warning: Unable to resolve imported reference tcgetattr.
0000000000422CBC: warning: Unable to resolve imported reference cfgetospeed.
0000000000422CCA: warning: Unable to resolve imported reference cfgetispeed.
0000000000422977: warning: Unable to resolve imported reference tcgetattr.
0000000000422AB0: warning: Unable to resolve imported reference cfsetospeed.
0000000000422AC5: warning: Unable to resolve imported reference cfsetispeed.
000000000042292E: warning: Unable to resolve imported reference tcsendbreak.
00000000004228FF: warning: Unable to resolve imported reference tcdrain.
00000000004228D3: warning: Unable to resolve imported reference tcflush.
0000000000422897: warning: Unable to resolve imported reference tcflow.
000000000042285C: warning: Unable to resolve imported reference symlink.
000000000042276A: warning: Unable to resolve imported reference __xstat64.
00000000004223B6: warning: Unable to resolve imported reference caml_local_roots.
0000000000422577: warning: Unable to resolve imported reference caml_local_roots.
00000000004226F0: warning: Unable to resolve imported reference __lxstat64.
0000000000422673: warning: Unable to resolve imported reference __fxstat64.
000000000042262F: warning: Unable to resolve imported reference __xstat64.
00000000004225EA: warning: Unable to resolve imported reference __lxstat64.
00000000004225A4: warning: Unable to resolve imported reference __fxstat64.
000000000042225D: warning: Unable to resolve imported reference getsockopt.
00000000004222FE: warning: Unable to resolve imported reference caml_local_roots.
0000000000422193: warning: Unable to resolve imported reference setsockopt.
000000000042208C: warning: Unable to resolve imported reference socket_type_table.
000000000042209C: warning: Unable to resolve imported reference socket_domain_table.
00000000004220A6: warning: Unable to resolve imported reference socketpair.
0000000000421F19: warning: Unable to resolve imported reference caml_local_roots.
0000000000421F77: warning: Unable to resolve imported reference caml_local_roots.
0000000000421FEC: warning: Unable to resolve imported reference caml_local_roots.
0000000000421D49: warning: Unable to resolve imported reference socket_type_table.
0000000000421D59: warning: Unable to resolve imported reference socket_domain_table.
0000000000421BE2: warning: Unable to resolve imported reference caml_local_roots.
0000000000421C60: warning: Unable to resolve imported reference caml_local_roots.
0000000000421C82: warning: Unable to resolve imported reference sigpending.
0000000000421B95: warning: Unable to resolve imported reference sigsuspend.
0000000000421B1B: warning: Unable to resolve imported reference shutdown.
0000000000421ADF: warning: Unable to resolve imported reference setuid.
0000000000421AC4: warning: Unable to resolve imported reference setsid.
0000000000421A9B: warning: Unable to resolve imported reference setgid.
00000000004219A0: warning: Unable to resolve imported reference caml_local_roots.
0000000000421A01: warning: Unable to resolve imported reference __recv_chk.
0000000000421A43: warning: Unable to resolve imported reference caml_local_roots.
0000000000421821: warning: Unable to resolve imported reference caml_local_roots.
00000000004218A5: warning: Unable to resolve imported reference __recvfrom_chk.
0000000000421922: warning: Unable to resolve imported reference caml_local_roots.
000000000042174D: warning: Unable to resolve imported reference __memmove_chk.
0000000000421766: warning: Unable to resolve imported reference send.
0000000000421615: warning: Unable to resolve imported reference __memmove_chk.
0000000000421637: warning: Unable to resolve imported reference sendto.
00000000004213B5: warning: Unable to resolve imported reference caml_local_roots.
00000000004214CD: warning: Unable to resolve imported reference select.
00000000004212CF: warning: Unable to resolve imported reference caml_local_roots.
0000000000421384: warning: Unable to resolve imported reference caml_local_roots.
0000000000421562: warning: Unable to resolve imported reference caml_local_roots.
0000000000421238: warning: Unable to resolve imported reference rmdir.
0000000000421224: warning: Unable to resolve imported reference rewinddir.
00000000004211E4: warning: Unable to resolve imported reference rename.
0000000000421150: warning: Unable to resolve imported reference readdir64.
0000000000421059: warning: Unable to resolve imported reference caml_local_roots.
