=== Using options:--aggressive-branch-removal
0000000000425039: warning: Unable to resolve imported reference sigaltstack.
0000000000434431: warning: Unable to resolve imported reference __xstat64.
00000000004238E0: warning: Unable to resolve imported reference __sigsetjmp.
00000000004346B6: warning: Unable to resolve imported reference __xstat64.
0000000000408CF0: warning: Unable to resolve imported reference log10.
0000000000408E40: warning: Unable to resolve imported reference ceil.
00000000004094D0: warning: Unable to resolve imported reference acos.
0000000000409B6B: warning: Unable to resolve imported reference caml_young_limit.
0000000000409B83: warning: Unable to resolve imported reference caml_curry9_6.
0000000000424D0E: warning: Unable to resolve imported reference sigdelset.
000000000040B1A7: warning: Unable to resolve imported reference unix_sigsuspend.
000000000040FB47: warning: Unable to resolve imported reference caml_input_value.
0000000000409820: warning: Unable to resolve imported reference __gmon_start__.
000000000043449B: warning: Unable to resolve imported reference readdir64.
0000000000434500: warning: Unable to resolve imported reference readdir64.
000000000042FD16: warning: Unable to resolve imported reference __xstat64.
000000000042FCB4: warning: Unable to resolve imported reference rename.
000000000042FC94: warning: Unable to resolve imported reference chdir.
000000000042F8C2: warning: Unable to resolve imported reference __xstat64.
000000000042F83C: warning: Unable to resolve imported reference getrusage.
000000000042F801: warning: Unable to resolve imported reference getppid.
000000000042C9F0: warning: Unable to resolve imported reference lseek64.
000000000042C870: warning: Unable to resolve imported reference lseek64.
000000000042B9FA: warning: Unable to resolve imported reference lseek64.
000000000042BA10: warning: Unable to resolve imported reference lseek64.
000000000042B86D: warning: Unable to resolve imported reference lseek64.
000000000042A956: warning: Unable to resolve imported reference strtod.
000000000042A83D: warning: Unable to resolve imported reference strtod.
000000000042A728: warning: Unable to resolve imported reference exp.
000000000042A708: warning: Unable to resolve imported reference floor.
000000000042A6E4: warning: Unable to resolve imported reference fmod.
000000000042A62E: warning: Unable to resolve imported reference frexp.
000000000042A580: warning: Unable to resolve imported reference ldexp.
000000000042A558: warning: Unable to resolve imported reference log.
000000000042A538: warning: Unable to resolve imported reference log10.
000000000042A4B7: warning: Unable to resolve imported reference modf.
000000000042A3BC: warning: Unable to resolve imported reference pow.
000000000042A398: warning: Unable to resolve imported reference sin.
000000000042A378: warning: Unable to resolve imported reference sinh.
000000000042A358: warning: Unable to resolve imported reference cos.
000000000042A338: warning: Unable to resolve imported reference cosh.
000000000042A318: warning: Unable to resolve imported reference tan.
000000000042A2F8: warning: Unable to resolve imported reference tanh.
000000000042A2D8: warning: Unable to resolve imported reference asin.
000000000042A2B8: warning: Unable to resolve imported reference acos.
000000000042A298: warning: Unable to resolve imported reference atan.
000000000042A27C: warning: Unable to resolve imported reference atan2.
000000000042A258: warning: Unable to resolve imported reference ceil.
000000000042A1A3: warning: Unable to determine format string for call to '__sprintf_chk'.
000000000042A162: warning: Unable to determine format string for call to '__sprintf_chk'.
000000000042A058: warning: Unable to resolve imported reference __fpclassify.
000000000042967E: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000429598: warning: Unable to determine format string for call to '__sprintf_chk'.
00000000004294D8: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000429418: warning: Unable to determine format string for call to '__sprintf_chk'.
0000000000425428: warning: Unable to determine format string for call to '__fprintf_chk'.
00000000004253E8: warning: Unable to determine format string for call to '__fprintf_chk'.
0000000000425401: warning: Unable to determine format string for call to '__fprintf_chk'.
